recording_id,manifest_status,audio_present,validate_exit_code,computed_status,status_mismatch,num_fails,num_warns,fail_messages
J26DS313_R0002,VALIDATED,True,0,VALIDATED,False,0,1,
J26DS313_R0003,VALIDATED,True,0,VALIDATED,False,0,0,
J26DS313_R0004,VALIDATED,True,0,VALIDATED,False,0,0,
J26DS313_R0005,VALIDATED,True,0,VALIDATED,False,0,0,
J26DS313_R0006,VALIDATED,True,0,VALIDATED,False,0,0,
J26DS313_R0007,VALIDATED,False,0,VALIDATED,False,0,1,
J26DS313_R0008,VALIDATED,True,1,ANNOTATED_DRAFT,True,17,0,"22 token line(s) are not valid / have junk in timestamps | a001: span [25:38] on J26DS313_R0008_transcript_u001_v1 = '.', expected 'සම්පත් බෑන්ක්' | a002: span [46:58] on J26DS313_R0008_c2_u001_en_v1 = '', expected 'Sampath Bank' | a003: span [24:40] on J26DS313_R0008_c2_u001_si_v1 = '.', expected 'සම්පත් බැංකුවෙන්' | a007: span [25:37] on J26DS313_R0008_transcript_u002_v1 = '5 දැම්මා.', expected '745038299425' | a008: span [33:45] on J26DS313_R0008_c2_u002_en_v1 = '425.', expected '745038299425' | a009: span [25:37] on J26DS313_R0008_c2_u002_si_v1 = 'දැම්මා.', expected '745038299425' | a011: span [6:10] on J26DS313_R0008_c2_u003_en_v1 = '450 ', expected '7450' | a013: span [27:33] on J26DS313_R0008_transcript_u005_v1 = '', expected 'අමාශිට' | a014: span [49:55] on J26DS313_R0008_c2_u005_en_v1 = '', expected 'Amashi' | a015: span [30:36] on J26DS313_R0008_c2_u005_si_v1 = '', expected 'අමාශිට' | a016: span [4:10] on J26DS313_R0008_transcript_u006_v1 = 'ිණ සහ ', expected 'සත්මිණ' | a017: span [5:13] on J26DS313_R0008_c2_u006_en_v1 = 'ina and ', expected 'Sathmina' | a018: span [4:10] on J26DS313_R0008_c2_u006_si_v1 = 'ිණ සහ ', expected 'සත්මිණ' | a019: span [11:17] on J26DS313_R0008_transcript_u006_v1 = 'ුමෙත් ', expected 'රුමෙත්' | a020: span [15:21] on J26DS313_R0008_c2_u006_en_v1 = 'meth k', expected 'Rumeth' | a021: span [12:18] on J26DS313_R0008_c2_u006_si_v1 = 'මෙත් ද', expected 'රුමෙත්'"
J26DS313_R0009,VALIDATED,True,0,VALIDATED,False,0,0,
J26DS313_R0010,VALIDATED,True,0,VALIDATED,False,0,0,
J26DS313_R0011,VALIDATED,True,0,VALIDATED,False,0,0,
J26DS313_R0012,VALIDATED,True,0,VALIDATED,False,0,1,
J26DS313_R0013,VALIDATED,True,0,VALIDATED,False,0,1,
J26DS313_R0014,VALIDATED,True,0,VALIDATED,False,0,0,
J26DS313_R0015,VALIDATED,True,0,VALIDATED,False,0,1,
J26DS313_R0016,VALIDATED,True,0,VALIDATED,False,0,0,
J26DS313_R0017,VALIDATED,True,0,VALIDATED,False,0,0,
J26DS313_R0018,VALIDATED,True,0,VALIDATED,False,0,0,
J26DS313_R0019,VALIDATED,True,1,ANNOTATED_DRAFT,True,2,0,3 token(s) fall outside the audio | UEM runs past the audio
J26DS313_R0020,VALIDATED,True,1,ANNOTATED_DRAFT,True,1,1,UEM runs past the audio
J26DS313_R0021,VALIDATED,True,1,ANNOTATED_DRAFT,True,2,0,RTTM runs past the audio | UEM runs past the audio
J26DS313_R0022,VALIDATED,True,0,VALIDATED,False,0,0,
J26DS313_R0023,VALIDATED,True,0,VALIDATED,False,0,0,
J26DS313_R0024,VALIDATED,True,0,VALIDATED,False,0,0,
J26DS313_R0025,VALIDATED,True,1,ANNOTATED_DRAFT,True,1,0,UEM runs past the audio
J26DS313_R0026,VALIDATED,True,1,ANNOTATED_DRAFT,True,1,0,UEM runs past the audio
J26DS313_R0027,VALIDATED,True,0,VALIDATED,False,0,2,
J26DS313_R0028,VALIDATED,True,0,VALIDATED,False,0,0,
